title,title_id,name_id,desc_id,desc
标题,标题ID,名称ID,描述ID,描述
简介,WORLD_INFO_INTRO_TITLE,WORLD_INFO_INTRO_NAME,WORLD_INFO_INTRO_DESC,这是一个诸多修士竞相修行的修仙世界。
境界,WORLD_INFO_REALM_TITLE,WORLD_INFO_REALM_NAME,WORLD_INFO_REALM_DESC,修仙的境界从弱到强：练气、筑基、金丹、元婴。每个境界分前期、中期、后期。境界间差距很大。
寿元,WORLD_INFO_LIFESPAN_TITLE,WORLD_INFO_LIFESPAN_NAME,WORLD_INFO_LIFESPAN_DESC,每个角色均有寿元上限。在大限将至的前20年身体会逐渐衰弱，有几率老死；一旦达到或超过寿元上限，则必死无疑。提升境界和某些宝物、丹药能提高寿元上限。
死亡,WORLD_INFO_DEATH_TITLE,WORLD_INFO_DEATH_NAME,WORLD_INFO_DEATH_DESC,HP降至0以下也会死亡。
区域,WORLD_INFO_REGION_TITLE,WORLD_INFO_REGION_NAME,WORLD_INFO_REGION_DESC,不同区域有不同效果，在适当的区域做适当的事情事半功倍。
修炼,WORLD_INFO_CULTIVATION_TITLE,WORLD_INFO_CULTIVATION_NAME,WORLD_INFO_CULTIVATION_DESC,修炼可以增加经验，直到到达突破前的瓶颈。突破是概率事件，突破后会进入下一个境界。
灵根,WORLD_INFO_ROOT_TITLE,WORLD_INFO_ROOT_NAME,WORLD_INFO_ROOT_DESC,灵根由五行元素（金、木、水、火、土）组成，分为单灵根、双灵根和天灵根。五行相克：金克木，木克土，土克水，水克火，火克金。天灵根包含全部五行元素且突破时有额外加成。在与自身灵根属性匹配的区域修炼效率最高。
天地灵机,WORLD_INFO_WORLD_QI_TITLE,WORLD_INFO_WORLD_QI_NAME,WORLD_INFO_WORLD_QI_DESC,世界每隔数年会有一次天象变动（如灵气潮汐），影响角色能力。
灵石,WORLD_INFO_SPIRIT_STONE_TITLE,WORLD_INFO_SPIRIT_STONE_NAME,WORLD_INFO_SPIRIT_STONE_DESC,修仙界的通用货币。可用于购买法宝丹药，通过采集、交易或掠夺获取。
宗门,WORLD_INFO_SECT_TITLE,WORLD_INFO_SECT_NAME,WORLD_INFO_SECT_DESC,修士的庇护所。加入宗门可习得独门功法、获同门庇护；散修自由但资源匮乏。
战斗,WORLD_INFO_BATTLE_TITLE,WORLD_INFO_BATTLE_NAME,WORLD_INFO_BATTLE_DESC,弱肉强食，境界压制极大，高境界者对低境界者有绝对优势。若对方死亡，胜者可掠夺败者财物。
动作,WORLD_INFO_ACTION_TITLE,WORLD_INFO_ACTION_NAME,WORLD_INFO_ACTION_DESC,你有一系列可以执行的动作。要注意动作的效果、限制条件、区域和时间。
装备与丹药,WORLD_INFO_EQUIPMENT_AND_ELIXIR_TITLE,WORLD_INFO_EQUIPMENT_AND_ELIXIR_NAME,WORLD_INFO_EQUIPMENT_AND_ELIXIR_DESC,通过兵器、辅助装备、丹药等装备，可以获得额外的属性加成，获得或小或大的增益。拥有好的装备或者服用好的丹药，能获得很大好处。
购物,WORLD_INFO_SHOPPING_TITLE,WORLD_INFO_SHOPPING_NAME,WORLD_INFO_SHOPPING_DESC,在城市区域可以购买练气级别丹药、兵器。购买丹药后会立刻服用强化自身。购买兵器可以帮自己切换兵器类型为顺手的类型。
拍卖会,WORLD_INFO_AUCTION_TITLE,WORLD_INFO_AUCTION_NAME,WORLD_INFO_AUCTION_DESC,每隔一段不确定的时间会有神秘人组织的拍卖会，或许有好货出售。
秘境,WORLD_INFO_SECRET_REALM_TITLE,WORLD_INFO_SECRET_REALM_NAME,WORLD_INFO_SECRET_REALM_DESC,每隔数年会有秘境开启。进入秘境可能遭遇凶险，也可能获得高阶法宝和功法。
道统,WORLD_INFO_ORTHODOXY_TITLE,WORLD_INFO_ORTHODOXY_NAME,WORLD_INFO_ORTHODOXY_DESC,不同的道统有不同的修行方法。道家吐纳，武家打熬，佛家禅定，儒家教化民众。
排行榜,WORLD_INFO_RANKING_TITLE,WORLD_INFO_RANKING_NAME,WORLD_INFO_RANKING_DESC,修仙界设有天地人三榜及宗门榜。天榜收录元婴期强者，地榜收录金丹期强者，人榜收录筑基期强者，宗门榜按宗门总实力排名。
